SVF ROW,SVF COL,JED
0,0,15439
0,1,15438
0,2,15437
0,3,15436
0,4,15435
0,5,15434
0,6,15433
0,7,15432
0,8,15431
0,9,15430
0,10,15429
0,11,15428
0,12,15427
0,13,15426
0,14,15425
0,15,15424
0,16,15423
0,17,15422
0,18,15421
0,19,15420
0,20,15419
0,21,15418
0,22,15417
0,23,15416
0,24,15415
0,25,15414
0,26,15413
0,27,15412
0,28,15411
0,29,15410
0,30,15409
0,31,15408
0,32,15407
0,33,15406
0,34,15405
0,35,15404
0,36,15403
0,37,15402
0,38,15401
0,39,15400
0,40,15399
0,41,15398
0,42,15397
0,43,15396
0,44,15395
0,45,15394
0,46,15393
0,47,15392
0,48,15391
0,49,15390
0,50,15389
0,51,15388
0,52,15387
0,53,15386
0,54,15385
0,55,15384
0,56,15383
0,57,15382
0,58,15381
0,59,15380
0,60,15379
0,61,15378
0,62,15377
0,63,15376
0,64,15375
0,65,15374
0,66,15373
0,67,15372
0,68,15371
0,69,15370
0,70,15369
0,71,15368
0,72,15367
0,73,15366
0,74,15365
0,75,15364
0,76,15363
0,77,15362
0,78,15361
0,79,15360
0,80,32767
0,81,32767
0,82,32767
0,83,32767
0,84,32767
0,85,32767
1,0,15519
1,1,15518
1,2,15517
1,3,15516
1,4,15515
1,5,15514
1,6,15513
1,7,15512
1,8,15511
1,9,15510
1,10,15509
1,11,15508
1,12,15507
1,13,15506
1,14,15505
1,15,15504
1,16,15503
1,17,15502
1,18,15501
1,19,15500
1,20,15499
1,21,15498
1,22,15497
1,23,15496
1,24,15495
1,25,15494
1,26,15493
1,27,15492
1,28,15491
1,29,15490
1,30,15489
1,31,15488
1,32,15487
1,33,15486
1,34,15485
1,35,15484
1,36,15483
1,37,15482
1,38,15481
1,39,15480
1,40,15479
1,41,15478
1,42,15477
1,43,15476
1,44,15475
1,45,15474
1,46,15473
1,47,15472
1,48,15471
1,49,15470
1,50,15469
1,51,15468
1,52,15467
1,53,15466
1,54,15465
1,55,15464
1,56,15463
1,57,15462
1,58,15461
1,59,15460
1,60,15459
1,61,15458
1,62,15457
1,63,15456
1,64,15455
1,65,15454
1,66,15453
1,67,15452
1,68,15451
1,69,15450
1,70,15449
1,71,15448
1,72,15447
1,73,15446
1,74,15445
1,75,15444
1,76,15443
1,77,15442
1,78,15441
1,79,15440
1,80,32767
1,81,32767
1,82,32767
1,83,32767
1,84,32767
1,85,32767
2,0,15599
2,1,15598
2,2,15597
2,3,15596
2,4,15595
2,5,15594
2,6,15593
2,7,15592
2,8,15591
2,9,15590
2,10,15589
2,11,15588
2,12,15587
2,13,15586
2,14,15585
2,15,15584
2,16,15583
2,17,15582
2,18,15581
2,19,15580
2,20,15579
2,21,15578
2,22,15577
2,23,15576
2,24,15575
2,25,15574
2,26,15573
2,27,15572
2,28,15571
2,29,15570
2,30,15569
2,31,15568
2,32,15567
2,33,15566
2,34,15565
2,35,15564
2,36,15563
2,37,15562
2,38,15561
2,39,15560
2,40,15559
2,41,15558
2,42,15557
2,43,15556
2,44,15555
2,45,15554
2,46,15553
2,47,15552
2,48,15551
2,49,15550
2,50,15549
2,51,15548
2,52,15547
2,53,15546
2,54,15545
2,55,15544
2,56,15543
2,57,15542
2,58,15541
2,59,15540
2,60,15539
2,61,15538
2,62,15537
2,63,15536
2,64,15535
2,65,15534
2,66,15533
2,67,15532
2,68,15531
2,69,15530
2,70,15529
2,71,15528
2,72,15527
2,73,15526
2,74,15525
2,75,15524
2,76,15523
2,77,15522
2,78,15521
2,79,15520
2,80,32767
2,81,32767
2,82,32767
2,83,32767
2,84,32767
2,85,32767
3,0,15679
3,1,15678
3,2,15677
3,3,15676
3,4,15675
3,5,15674
3,6,15673
3,7,15672
3,8,15671
3,9,15670
3,10,15669
3,11,15668
3,12,15667
3,13,15666
3,14,15665
3,15,15664
3,16,15663
3,17,15662
3,18,15661
3,19,15660
3,20,15659
3,21,15658
3,22,15657
3,23,15656
3,24,15655
3,25,15654
3,26,15653
3,27,15652
3,28,15651
3,29,15650
3,30,15649
3,31,15648
3,32,15647
3,33,15646
3,34,15645
